feature,importance_mean,importance_std
max_reclose_delay_hours,0.1327476950634845,0.04596789270473485
min_reclose_delay_hours,0.1327476950634845,0.04596789270473485
mean_downtime_hours,0.1327476950634845,0.04596789270473485
max_downtime_hours,0.1327476950634845,0.04596789270473485
unique_apparatus_count,0.0,0.0
row_count,0.0,0.0
event_weekday,0.0,0.0
event_hour,0.0,0.0
any_reclosed_clock,0.0,0.0
voltage_level_kv,0.0,0.0
any_reclosed_arc,0.0,0.0
has_comments,0.0,0.0
mentions_trip_failure,0.0,0.0
mentions_overcurrent,0.0,0.0
mentions_earth_fault,0.0,0.0
mentions_phase,0.0,0.0
mentions_three_phase,0.0,0.0
mentions_buchholz,0.0,0.0
mentions_diff,0.0,0.0
mentions_voltage_issue,0.0,0.0
season,0.0,0.0
substation_area,0.0,0.0
weather,0.0,0.0
reporter,0.0,0.0
location_primary,0.0,0.0
event_month,-0.002325018896447464,0.011390219877250253
apparatus_concat,-0.027900226757369567,0.029039476709105727
comments_concat,-0.03720030234315942,0.027900226757369567
