fault_id,fault_no,event_date,location_primary,weather,season,substation_area,row_count,unique_apparatus_count,comments_concat,apparatus_concat,actual_label,predicted_label,is_error
distribution::075/25::2025-02-03::07:58,075/25,2025-02-03,Kanye,rainy/stormy,summer,South,1,1,3Ph T + L/O,Kanye 132/11kV Tx 2 LV CB 2HO,operational-other,operational-other,False
distribution::061/25::2025-02-19::12:26,061/25,2025-02-19,Gaphwatshwa,rainy/stormy,summer,South,1,1,LV O/C & E/F trip; Master trip,Gaphwatshwa 132/33kV T2 LV CB H20,ground-related,ground-related,False
distribution::062/25::2025-02-19::12:40,062/25,2025-02-19,Broadhurst,rainy/stormy,summer,South,1,1,LV O/C & E/F trip; Master trip,Broadhurst 132/33kV LV CB 4T0,ground-related,ground-related,False
distribution::108/25::2025-03-05::10:20,108/25,2025-03-05,Maun,clear,autumn,North,2,2,"Protection Trip, Current Relay operated || Protection Trip",Maun 132/11kV Transformer 1 LV CB 1T0 || Maun 11kV Bus Section CB 1S0,operational-other,operational-other,False
distribution::078/25::2025-03-13::13:01,078/25,2025-03-13,Francistown,cloudy,autumn,North,2,2,"F/town, 220/11kV TX 1B LV side; Ground to neutral, O/C trip || F/town, 220/11kV TX 1A LV side; Backup protection trip",Francistown 220/11kV TX 1B LV CB 1TOB || Francistown 220/11kV TX 1A LV CB 1TOA,ground-related,ground-related,False
distribution::084/25::2025-03-13::04:46,084/25,2025-03-13,F/Town West,cloudy,autumn,North,1,1,LV OC & EF Relay: Trip. LV master trip operated,F/Town West 132/11kV Tx 2A LV CB 2HOB,operational-other,operational-other,False
distribution::084/25::2025-03-13::06:23,084/25,2025-03-13,F/Town West,cloudy,autumn,North,1,1,LV OC & EF Relay: Trip. LV master trip operated,F/Town West 132/11kV Tx 2A LV CB 2HOB,operational-other,operational-other,False
distribution::88/25::2025-03-22::15:05,88/25,2025-03-22,Orapa 2,clear,autumn,Central,1,1,LoStage E/F operated; Letlhakane Village feeder OHL conductor broken,Orapa 2 220/33kV T1 LV CB H08,ground-related,ground-related,False
distribution::091/25::2025-03-28::19:59,091/25,2025-03-28,Gaphatshwa,clear,autumn,South,2,2,"Over voltage, Master trip operated",Gaphatshwa 132/11kV Transformer 4 LV CB 4HO || Gaphatshwa 132/11kV Transformer 3 LV CB 3HO,operational-other,operational-other,False
distribution::099/25::2025-04-19::09:27,099/25,2025-04-19,Broadhurst,cloudy,autumn,South,2,2,"Overcurrent trip; Zone 2 trip, underfrequency relay || Underfrequency relay trip",Broadhurst 132/11kV TRF 1 LV CB 3H0 || Broadhurst 132/11kV TRF 2 LV CB 4HO,operational-other,operational-other,False
distribution::102/25::2025-04-23::22:13,102/25,2025-04-23,Mochudi,clear,autumn,South,1,1,Earth fault,Mochudi 132/33kV Transformer 1 LV CB 110,ground-related,ground-related,False
distribution::103/25::2025-04-30::07:15,103/25,2025-04-30,Jwaneng,clear,autumn,South,1,1,E/F trip,Jwaneng 132/33kV Tx 9 LV CB 9HO,ground-related,ground-related,False
distribution::104/25::2025-04-30::09:12,104/25,2025-04-30,Jwaneng,clear,autumn,South,1,1,"Buszone trip; baboons seen in substation, flash on 33kV busbar",Jwaneng 132/33kV Tx 8 LV CB 8HO,operational-other,operational-other,False
distribution::102/25::2025-05-23::22:13,102/25,2025-05-23,Mochudi,clear,autumn,South,1,1,Earth fault,Mochudi 132/33kV Transformer 1 LV CB 110,ground-related,ground-related,False
distribution::128/25::2025-06-25::17:31,128/25,2025-06-25,Molepolole,clear,winter,South,1,1,LV Directional E/F Trip,Molepolole 132/33kV T1 LV CB H10,ground-related,ground-related,False
distribution::123/25::2025-08-06::11:52,123/25,2025-08-06,Phakalane,clear,winter,South,2,2,Inter trip receive || CB FAIL Right hand side,Phakalane 132/11kV Transformer 2 LV CB 2HOB || Phakalane 11kV Bussection CB 1SOB,operational-other,operational-other,False
distribution::077/25::2025-09-03::18:30,077/25,2025-09-03,"Government Enclave, 132/11kV T1",clear,spring,South,1,1,Tripped,Government Enclave 132/11kV T1 LV CB 1HO,operational-other,operational-other,False
distribution::095/25::2025-09-04::06:46,095/25,2025-09-04,Jwaneng,rainy/stormy,spring,South,1,1,Through fault from CSS Feeder 4L5 (failed to trip); restored after isolation,Jwaneng 132/33kV Transformer 9 LV CB 9HO,operational-other,operational-other,False
distribution::097/25::2025-12-04::10:53,097/25,2025-12-04,Jwaneng,cloudy,summer,South,1,1,"Buszone trip; Mine Feeder 5 tripped on O/C, E/F",Jwaneng 132/33kV Transformer 9 LV CB 9HO,ground-related,ground-related,False
distribution::098/25::2025-12-04::14:24,098/25,2025-12-04,Jwaneng,cloudy,summer,South,1,1,"Buszone trip; Mine Feeder 5 tripped on O/C, E/F",Jwaneng 132/33kV Transformer 9 LV CB 9HO,ground-related,ground-related,False
